127.0.0.1 - - [05/Jun/2021:18:26:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:10 +0900] "GET /root/ HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:22 +0900] "GET /root/https://github.com/dlgk1994/Kim.git HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:32 +0900] "GET /root/adminProductList HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:32 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:32 +0900] "GET /root/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:32 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:33 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:35 +0900] "GET /root/adminProductInput HTTP/1.1" 200 10198
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:35 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:35 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:26:35 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:29:19 +0900] "GET /root/adminProductInput HTTP/1.1" 200 10184
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:29:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:29:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:29:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:29:34 +0900] "GET /root/adminProductInput HTTP/1.1" 200 10184
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:29:34 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:29:34 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:29:34 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:12 +0900] "GET /root/adminProductInput HTTP/1.1" 200 10211
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:12 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:12 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:12 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:19 +0900] "GET /root/adminProductInput HTTP/1.1" 200 10211
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:29 +0900] "GET /root/adminProductInput HTTP/1.1" 200 10211
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:29 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:29 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:29 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jun/2021:18:30:38 +0900] "GET /root/adminProductInput HTTP/1.1" 200 10211
